Adam & Eve			Wenn Die Sonne Erwacht In Den Bergen
Jurgens, Udo			Heute Begint Der Rest Deines Lebens
Jurgens, Udo			Merci Cherie
Jurgens, Udo			Mit 66 Jahren
Jurgens, Udo			Udo Jurgens Medley Nr. 01
Jurgens, Udo			Udo Jurgens Medley Nr. 02
Jurgens, Udo			Udo Jurgens Medley Nr. 03
Kaiser, Roland			Alles Was Du Willst
Kaiser, Roland			Es Geht Schon Wieder Loss
Kaiser, Roland			Manchmal Mochte Ich Schon Mit Dir
Kaiser, Roland			Roland Kaiser Medley
Kaiser, Roland			Sag Niemals Nie
Kaiser, Roland			Samstag Nacht
Kaiser, Roland			Santa Maria
Kaiser, Roland			Seitenblicke
Kaiser, Roland			Sieben Fasser Wein
Kaiser, Roland			The Sun Ain't Gonna Shine Anymore
Kaiser, Roland			Und Wer Kust Mich
Kaiser, Roland			Viva L'Amour
Kaiser, Roland			Wind Auf Der Haut Und Lisa
Kastelruther Spatzen, Die	Alexandra Komm Heim
Kastelruther Spatzen, Die	Atlantis Der Berge
Kastelruther Spatzen, Die	Auf Der Strasse Der Rosen
Kastelruther Spatzen, Die	Che Bella La Vita
Kastelruther Spatzen, Die	Das Erste Gebot Ist Die Liebe
Kastelruther Spatzen, Die	Das Madchen Ohne Namen
Kastelruther Spatzen, Die	Der Rote Diamant
Kastelruther Spatzen, Die	Die Grosse Liebe
Kastelruther Spatzen, Die	Du Gehorst In Meine Armen
Kastelruther Spatzen, Die	Eine Weisse Rose
Kastelruther Spatzen, Die	Kleine Annabel
Kastelruther Spatzen, Die	Maria Tristezza
Kastelruther Spatzen, Die	Monte D'Amore
Kastelruther Spatzen, Die	Schatten Uber'm Rosenhof
Kastelruther Spatzen, Die	Tranen Passen Nicht Zu Dir
Kastelruther Spatzen, Die	Und Ewig Ruft Die Heimat
Kerkeling, Hape			Das Ganze Leben Ist Ein Quiz
Khan, Dschingis			Dschingis Khan Medley
King, Ricky			Ricky King Medley
King, Ricky			Yesterday & The Sound Of Silence
Klaus & Klaus			An Der Nordseekuste
Klaus & Klaus			Der Eierman
Klaus & Klaus			Jodeladi
Klaus & Klaus			Viva La Mexico
Kraus, Peter			Peter Kraus Medley Nr. 01
Kraus, Peter			Peter Kraus Medley Nr. 02
Kraus, Peter			Peter Kraus Medley Nr. 03
Kuhn, Paul			Es Gibt Kein Bier Auf Hawaii
Lai, Francis & His Orchester	Das Traumschiff
Landers, Audrey			Manuel Goodbye
Landers, Audrey			Mi Amor
Landers, Audrey			Montego Bay
Landers, Audrey			Playa Blanca
Last, James & His Orchester	A Banda Medley
Last, James & His Orchester	Adelheid (Gartenzwergmarsch)
Last, James & His Orchester	All Star Parade
Last, James & His Orchester	Annchen Von Tharau
Last, James & His Orchester	Ave Maria
Last, James & His Orchester	Biscaya
Last, James & His Orchester	Der Einsame Hirte
Last, James & His Orchester	Die Muhle Im Schwarzwald
Last, James & His Orchester	Die Rose Vom Worthersee
Last, James & His Orchester	Dr. Zschiwago Melodie
Last, James & His Orchester	Einmal Noch Nach Bombay
Last, James & His Orchester	Fliegermarsch
Last, James & His Orchester	Haselnuss Polka
Last, James & His Orchester	Herz Schmerz Und Dies Und Das
Last, James & His Orchester	Im Kahlenberg Dorfel
Last, James & His Orchester	James Last Medley (Eine Seefahrt)
Last, James & His Orchester	James Last Medley Nr. 01
Last, James & His Orchester	James Last Medley Nr. 02
Last, James & His Orchester	James Last Medley Nr. 03
Last, James & His Orchester	Knock On Wood
Last, James & His Orchester	Morgensummer
Last, James & His Orchester	Orange Blossom Special
Last, James & His Orchester	Petersburger Schlittenfahrt
Last, James & His Orchester	Schutzenliesl
Last, James & His Orchester	Seemann's Medley Nr. 01
Last, James & His Orchester	Seemann's Medley Nr. 02
Last, James & His Orchester	Sportpallast Polka
Last, James & His Orchester	Tolzer Schutzenmarsch
Last, James & His Orchester	Tritsch Tratsch Polka
Last, James & His Orchester	Volkslieder Medley
Last, James & His Orchester	Volksweissen Potpourri
Last, James & His Orchester	Wedding Song (There Is Love)
Last, James & His Orchester	Wien Bleibt Wien
Last, James & His Orchester	Wochenend Und Sonnenschein
Last, James & His Orchester	Zwei Munchner In Hamburg
Leander, Zarah			Davon Geht Die Welt Nicht Under
Leandros, Vicky			Apres Tois
Leandros, Vicky			Come What Way
Leandros, Vicky			Die Bouzouki Klang Durch Die Sommernacht
Leandros, Vicky			Du Bist Mein Erste Gedanke
Leandros, Vicky			Es Ist Schon Dass Es Dich Gibt
Leandros, Vicky			Tango D'Amor
Leandros, Vicky			Theo Wir Fahr'n Nach Lodz
Leinemann			Mein Tuut Tuut
Leonard				Davon Traume Ich
Leonard				Doreen
Leonard				Ein Kleines Lied
Leonard				Hey Du
Leonard				Jetzt Oder Nie
Lindner, Patrick		Des Ist Der Wahnsinn
Lindner, Patrick		Die Kleine Dinge Des Lebens
Lindner, Patrick		Die Kleine Tur Zum Paradies
Lindner, Patrick		Die Kloane Aus Der Letzten Bank
Lindner, Patrick		Ich Hatte Dich Sowieso Gekust
Lindner, Patrick		Ich Kann Keine Traurigen Augen Seh'n
Lindner, Patrick		Ich Will Dir Immer Rote Rosen Schenken
Lindner, Patrick		Manchmal Braught Man Was Des Ma Glauben Kann
Lindner, Patrick		Mein Schonstes Geschenk
Lindner, Patrick		Meiner Lieder Streicheln Dich
Lindner, Patrick		Und Wenn I Tanz Mit Dir
Lindner, Patrick		Und Wenn's Nachts Wird Gibt's A Busserl
Lippe, Jurgen Von Der		Der Blumenmann
Lippe, Jurgen Von Der		Konig Der City
Llic, Bata			Dich Erkenn' Ich Mit Verbund'nen Augen
Llic, Bata			Ich hab Noch Sand In Der Schuhen Von Hawaii
Llic, Bata			Michaella
Llic, Bata			Wenn Du Einsam Bist
Llic, Bata			Wo Weisse Rose Bluh'n
Lolita				Seemann Deine Heimat Ist Das Meer
Mandler, Bearb			So Nimm Denn Meine Hande (Kirchenlied)
Manuela				Schuld War Nur Der Bossa Nova
Marco				Ohne Dich
Marcus, Jurgen			Ein Festival Der Liebe
Marcus, Jurgen			Ein Lied Zieht Hinaus In Die Welt
Marcus, Jurgen			Eine Neue Liebe Ist Wie Ein Neues Leben
Maria, Eva			Manege Frei
Marianne & Michael		Die Zeit Der Gummiberchen
Marianne & Michael		Hohe Tannen Medley
Marianne & Michael		Wann Fangt Denn Bioss Den Musik An
Mariella			In Der Strasse Der Armen
Marshall, Tony			Am Ersten Tag Nach Ewigkeit
Marshall, Tony			Auf Der Strassen Nach Suden
Marshall, Tony			Die Fischerin Vom Bodemsee
Marshall, Tony			Heute Hau'n Wir Auf Die Pauke
Marshall, Tony			Jetzt Geht Loss
Marshall, Tony			Schone Maid
Marshall, Tony			Tony Marshall Medley
Martin, Andreas			Das Kann Nur Liebe Sein
Martin, Andreas			Deine Fluegel Fangen Feuer
Martin, Andreas			Mehr Als Sensucht
Martin, Andreas			Nur Bei Dir
Martin, Andreas			Nur Mit Dir Und Immer Wieder
Martin, Andreas			Sonne In Der Nacht
Mathieu, Mireille		Akropolis Adieu
Medley (Diverse)		01Medley
Medley (Diverse)		Adelheid Medley
Medley (Diverse)		Agadou Medley Nr. 01
Medley (Diverse)		Agadou Medley Nr. 02
Medley (Diverse)		Agadou Medley Nr. 03
Medley (Diverse)		Agadou Medley Nr. 04
Medley (Diverse)		Agadou Medley Nr. 05
Medley (Diverse)		Agadou Medley Nr. 06
Medley (Diverse)		Agadou Medley Nr. 07
Medley (Diverse)		Agadou Medley Nr. 08
Medley (Diverse)		Agadou Medley Nr. 09
Medley (Diverse)		Der Nippel Medley
Medley (Diverse)		Deutsch Old Medley Nr. 01
Medley (Diverse)		Deutsch Old Medley Nr. 02
Medley (Diverse)		Deutsch Old Medley Nr. 03
Medley (Diverse)		Deutsch Old Medley Nr. 04
Medley (Diverse)		Feestmuziek Medley
Medley (Diverse)		Fidele Weinlese Medley
Medley (Diverse)		Jetzt Geht Die Party Richtig Los Nr. 01 
Medley (Diverse)		Jetzt Geht Die Party Richtig Los Nr. 02 
Medley (Diverse)		Party Medley
Medley (Diverse)		Polonaise Medley
Medley (Diverse)		Rosamunde Schutzenliesel Anneliese (Medley)
Medley (Diverse)		Schon War Die Zeit Medley
Medley (Diverse)		Seemansgarn Medley
Medley (Diverse)		Stimmungs Potpourri Nr. 01
Medley (Diverse)		Stimmungs Potpourri Nr. 02
Medley (Diverse)		Stimmungs Potpourri Nr. 03
Medley (Diverse)		Stimmungs Potpourri Nr. 04
Medley (Diverse)		Stimmungs Potpourri Nr. 05
Medley (Diverse)		Stimmungs Potpourri Nr. 06
Medley (Diverse)		Stimmungs Potpourri Nr. 07
Medley (Diverse)		Stimmungs Potpourri Nr. 08
Medley (Diverse)		Stimmungs Potpourri Nr. 09
Medley (Diverse)		Stimmungs Walzer Bierlieder Medley
Medley (Diverse)		Teeny Bopper Medley
Medley (Diverse)		Theken Lieder Potpourri
Medley (Diverse)		Wir Kommen Alle In Dem Himmel Medley
Mey, Reinhard			Gute Nacht Freunde
Mey, Reinhard			Sommermorgen
Mey, Reinhard			Uber Den Wolken
Millowitsch, Willy		Schnaps Das War Sein Letztes Wort
Mross, Stefan			Ein Lied Fur Jeden Sonnenstrahl
Mross, Stefan			Heilige Berge
Mross, Stefan			Heimweh Melodie
Muhlenhof Musikanten		Dat Noch In Hundert Jahren
Muhlenhof Musikanten		Traume Haben Gold'ne Flugel
Muys, Horst			Heidewitzka Herr Kapitan
Naabtal Duo			Alles Liebe Alles Gute
Naabtal Duo			Einer Hat Immer Das Bummerl
Naabtal Duo			Heimweh Nach Der Heimat
Naabtal Duo			Patronae Bavariae
Napoli, Francesco		Italienisches Hit Medley
Napoli, Francesco		Spanish Hit Medley
Nilsen Brothers			Aber Dich Gibt's Nur Einmal Fur Mich
Nina & Mike			Fahrende Musikanten
Nockalm Quintet			Der Rote Mond Von Surabaya
Nockalm Quintet			Gina das Ist Die Liebe
Nockalm Quintet			Heut' Hast Du Geburtstag
Nockalm Quintet			Lass Mich Dein Kolumbus Sein
Nockalm Quintet			Nur Ein Tanz Und Dann A Basserl
Nockalm Quintet			Schuld Sind Deine Himmelblauen Augen
Nockalm Quintet			Sternenhimmelgefuhl
Nockalm Quintet			Und Uber Rhodos Kuss Ich Dich
Nockalm Quintet			Weine Nicht Um Ihn
Nordwind			Das Ewig Lied Vom Meer
Noris, Gunther & Die Bundeswehr	Hoch Auf Dem Gelben Wagen
Nuno				Stern Von Casablanca
Olivier, Geraldine		Nimm Dir Wieder Einmal Zeit
Onbekende (Schlager)		01Almart
Onbekende (Schlager)		01Buenos
Onbekende (Schlager)		01Jawenn
Onbekende (Schlager)		01Lassei
Onbekende (Schlager)		01manchm
Onbekende (Schlager)		01Meinsc
Onbekende (Schlager)		01Polona
Onbekende (Schlager)		01Schaum
Onbekende (Schlager)		01Soawun
Onbekende (Schlager)		01Spaetl
Onbekende (Schlager)		01Sunshi
Onbekende (Schlager)		01Wenndu
Onbekende (Schlager)		02Ahandv
Onbekende (Schlager)		02Ajede
Onbekende (Schlager)		02Berlin
Onbekende (Schlager)		02Dathae
Onbekende (Schlager)		02Dein
Onbekende (Schlager)		02Diesue
Onbekende (Schlager)		02Dualei
